ENSEMBL	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Case1	Case2	Case3	Case4	Case5	Case6	Case7	Case8
ENSG00000232613	5	1	5	20	10	4	7	31	1	2	1	1	2	7	1	2
ENSG00000232153	14	4	10	12	4	6	5	7	2	1	1	3	4	1	2	8
ENSG00000124383	26	17	14	31	55	21	20	49	56	80	23	29	38	62	101	59
ENSG00000239995	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ENSG00000213699	30	6	23	16	52	37	28	73	53	57	31	24	58	116	150	49
ENSG00000234936	0	0	0	4	10	2	0	4	0	2	0	1	1	7	5	3
ENSG00000168887	68	18	48	35	128	62	77	92	109	201	77	47	133	250	429	101
ENSG00000271134	1	5	4	10	7	6	2	20	1	2	2	1	5	2	0	2
ENSG00000231918	27	15	15	30	28	20	9	33	7	0	9	2	10	3	2	13
ENSG00000068878	97	83	30	103	195	134	79	198	222	864	72	92	132	312	384	200
ENSG00000287474	16	10	9	25	11	5	12	21	4	1	4	7	6	2	4	4
ENSG00000235937	9	8	4	26	14	12	3	25	2	0	0	0	3	0	0	0
ENSG00000115350	71	13	17	68	163	38	72	130	113	135	61	62	236	221	217	89
ENSG00000135625	8	1	3	21	9	22	1	24	16	15	8	5	8	6	9	12
ENSG00000273763	10	12	16	16	8	12	19	41	9	5	6	9	4	5	2	8
ENSG00000235463	6	2	2	5	4	4	17	32	5	0	1	0	2	7	0	5
ENSG00000229224	2	0	3	5	4	3	0	10	1	3	0	1	1	2	0	4
ENSG00000232696	6	2	5	4	5	9	12	19	4	1	6	0	11	6	4	9
ENSG00000182814	8	3	8	17	15	22	6	16	6	4	1	1	2	7	6	6
ENSG00000144043	27	12	2	17	85	7	12	18	57	215	35	11	60	121	172	46
ENSG00000276362	0	0	1	1	0	2	0	3	0	0	0	0	1	3	3	0
ENSG00000266931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286728	2	2	0	5	4	10	3	4	7	0	1	1	0	3	0	1
ENSG00000115486	41	29	15	62	78	113	40	132	132	172	74	72	103	112	169	123
ENSG00000143954	9	5	4	9	11	39	1	19	7	6	7	13	4	8	7	10
ENSG00000235725	8	6	8	28	8	26	27	69	3	0	2	5	6	1	1	13
ENSG00000279519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233870	0	0	2	11	8	7	1	12	3	4	1	3	2	2	1	2
ENSG00000273064	1	1	0	3	2	2	0	1	3	1	1	3	3	1	3	0
ENSG00000237498	3	2	0	2	1	4	3	3	3	0	0	5	5	3	3	2
ENSG00000286427	3	0	0	0	2	2	1	2	2	0	0	0	0	1	1	0
ENSG00000287344	0	0	0	0	0	0	0	0	0	1	0	2	0	2	2	1
ENSG00000115386	6	12	12	36	13	25	14	57	15	1	4	1	8	8	8	16
ENSG00000197794	7	0	3	1	2	4	1	3	0	0	2	3	3	0	0	0
ENSG00000152147	35	31	32	65	58	26	16	84	35	62	24	18	46	28	50	61
ENSG00000237293	4	9	2	4	2	11	3	16	1	0	0	1	1	0	1	4
ENSG00000232548	4	0	0	0	1	1	1	1	1	0	0	0	2	0	0	2
ENSG00000196085	0	0	0	1	5	1	2	0	0	0	1	0	1	1	1	0
ENSG00000279873	1	0	0	3	1	5	2	9	0	13	5	2	7	7	2	2
ENSG00000143933	306	59	174	221	727	75	232	206	536	1129	187	144	998	1290	1524	644
ENSG00000152672	19	10	10	22	68	44	16	60	32	19	15	15	9	18	25	24
ENSG00000271452	0	0	3	1	1	2	1	4	0	0	0	1	1	1	1	1
ENSG00000115239	56	49	38	105	86	65	72	185	76	92	42	28	50	95	79	76
ENSG00000163219	123	47	57	84	201	66	77	173	186	158	100	47	99	295	554	133
ENSG00000224695	4	0	1	1	1	0	0	1	0	0	1	1	0	0	1	0
ENSG00000273269	0	3	0	4	1	2	2	12	0	0	0	0	1	0	0	0
ENSG00000224071	17	11	12	16	13	16	27	53	7	0	5	8	9	11	2	14
ENSG00000232963	3	1	5	5	1	2	2	5	3	2	0	3	2	4	5	8
ENSG00000116016	31	17	31	58	64	137	54	201	88	94	44	56	48	49	209	63
ENSG00000285898	5	4	0	6	2	4	2	4	5	0	2	1	7	4	1	0
